iter	Passed	Remaining
0	1	103
1	1	96
2	2	93
3	3	85
4	4	83
5	5	82
6	6	84
7	7	83
8	8	82
9	8	80
10	9	78
11	10	77
12	11	73
13	11	70
14	11	67
15	12	64
16	12	62
17	13	60
18	13	58
19	13	55
20	14	53
21	14	51
22	14	50
23	15	49
24	15	47
25	16	46
26	16	45
27	17	43
28	17	42
29	17	41
30	18	40
31	18	39
32	18	37
33	19	36
34	19	35
35	19	34
36	20	34
37	20	34
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	29
44	23	29
45	24	28
46	24	27
47	25	27
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	27	22
55	28	22
56	28	21
57	28	20
58	29	20
59	29	19
60	29	18
61	30	18
62	30	17
63	30	17
64	31	16
65	31	16
66	31	15
67	32	15
68	32	14
69	32	14
70	33	13
71	33	12
72	33	12
73	34	11
74	34	11
75	34	10
76	34	10
77	35	9
78	35	9
79	36	9
80	36	8
81	36	8
82	37	7
83	37	7
84	38	6
85	38	6
86	39	5
87	39	5
88	39	4
89	40	4
90	40	4
91	40	3
92	41	3
93	41	2
94	42	2
95	42	1
96	42	1
97	43	0
98	43	0
99	43	0
