iter	Passed	Remaining
0	47	47002
1	47	23667
2	47	15884
3	48	11998
4	48	9694
5	49	8141
6	49	7029
7	50	6224
8	50	5575
9	51	5090
10	52	4715
11	52	4361
12	53	4083
13	54	3818
14	54	3586
15	55	3384
16	55	3208
17	55	3048
18	56	2906
19	57	2793
20	57	2678
21	57	2571
22	58	2472
23	58	2382
24	58	2299
25	59	2223
26	59	2160
27	60	2100
28	61	2045
29	61	1993
30	62	1944
31	62	1892
32	62	1843
33	64	1828
34	64	1790
35	65	1752
36	66	1722
37	66	1695
38	67	1671
39	68	1651
40	69	1621
41	69	1589
42	70	1559
43	70	1530
44	70	1502
45	71	1482
46	71	1457
47	72	1432
48	72	1409
49	73	1392
50	73	1370
51	73	1348
52	74	1328
53	74	1308
54	75	1289
55	75	1271
56	75	1253
57	76	1236
58	76	1220
59	76	1204
60	77	1188
61	77	1173
62	77	1159
63	78	1144
64	78	1131
65	79	1120
66	79	1108
67	80	1096
68	80	1086
69	81	1077
70	81	1067
71	82	1064
72	83	1058
73	83	1048
74	84	1039
75	84	1029
76	85	1019
77	85	1010
78	85	1001
79	86	991
80	86	982
81	86	973
82	87	962
83	87	954
84	87	945
85	88	937
86	88	928
87	88	920
88	89	912
89	89	907
90	90	899
91	90	892
92	90	885
93	91	878
94	91	871
95	91	864
96	92	857
97	92	851
98	92	844
99	93	839
100	94	837
101	94	832
102	95	828
103	97	836
104	98	835
105	98	831
106	99	826
107	99	821
108	99	816
109	100	814
110	101	809
111	101	805
112	101	800
113	102	795
114	102	790
115	103	785
116	103	780
117	103	775
118	104	772
119	104	768
120	105	763
121	105	758
122	105	755
123	106	750
124	106	746
125	107	742
126	107	737
127	107	733
128	108	729
129	108	725
130	108	722
131	109	718
132	109	714
133	110	713
134	110	710
135	112	714
136	113	712
137	113	710
138	114	706
139	114	703
140	114	700
141	115	696
142	115	693
143	116	690
144	116	687
145	117	685
146	117	681
147	117	678
148	118	675
149	118	672
150	119	669
151	119	666
152	119	663
153	120	659
154	120	656
